exercise	prerequisites	progressions	colour	description
Row	[]	[Inverted Row]	yellow	The row is the beginning for any pulling exercise. It's easily scalable and trains grip, back and scapular retraction. Use rings, 2 chairs and a stick, or a chair and heavy household items.
Pullup	[Inverted Row]	[Weighted Pullup, One Arm Pullup Progressions, Front Lever Row Progressions, Front Lever Raise Progressions, Front Lever Progressions, Explosive Pullup, dragon flag progressions]	yellow	The classic exercise that proves you have a strong foundation. On their own they build a great back and work practically every back muscle. There are many ways to progress after learning this exercise.
Weighted Pullup	[Pullup]	[One Arm Pullup, Front Lever, Muscle Up]	yellow	Probably the best and most quantifiable way to build pulling strength. This strength can also carryover to many pulling skills such as the front lever or one arm pullup. These will also take your back gains to the next level.
One Arm Pullup Progressions	[Pullup]	[One Arm Pullup]	yellow	One arm pullup progressions are often overlooked. But they're a great way to build unilateral pulling strength and fix any imbalances. Plus they can come in clutch if you don't have weights for weighted variations. Ex. band assisted one arm pullup, pulley assisted one arm pullup, finger assisted one arm pullup
One Arm Pullup	[Weighted Pullup, One Arm Pullup Progressions]	[Weighted One Arm Pullup]	yellow	The pinnicle of pulling strength. The only way up from here is to increase reps or increase weight.
Front Lever	[Weighted Pullup, Front Lever Row Progressions, Front Lever Raise Progressions, Front Lever Progressions]	[]	green	The pinnicle of static static strength for pull. Proof of strong straight arm strength. You can turn these into dynamic movements as well.
Muscle Up	[Explosive Pullup, Weighted Pullup, Dip]	[]	orange	The muscle up is one of the most recognizable calisthenics skills. It combines explosive pulling with strong pushing, making it a true test of upper body power and coordination.
Front Lever Row	[Front Lever Row Progressions]	[]	green	Front lever rows build incredible straight arm and back strength. They're one of the best dynamic exercises for improving your front lever while adding serious pulling strength.
Front Lever Raise	[Front Lever Raise Progressions]	[]	green	Front lever raises teach you how to control your body through the entire movement. They're excellent for building straight arm strength and reinforcing proper front lever technique.
Inverted Row	[Row]	[Pullup]	yellow	Inverted rows bridge the gap between rows and pullups. They strengthen your back, grip and scapular control while preparing you for your first pullup.
Front Lever Row Progressions	[Pullup, hollow body hold progressions]	[Front Lever Row, Front Lever]	green	These progressions gradually build the strength needed for full front lever rows. They're scalable for any level and are one of the fastest ways to improve your pulling strength. Ex. band assisted front lever row, regular progressions (tuck, adv tuck, straddle, half lay)
Weighted One Arm Pullup	[One Arm Pullup]	[]	yellow	If a one arm pullup wasn't enough, adding weight is the ultimate display of pulling strength. Very few people will ever reach this level.
Front Lever Raise Progressions	[Pullup, hollow body hold progressions]	[Front Lever Raise, Front Lever]	green	These progressions develop the control and strength needed for front lever raises. Focus on slow, controlled reps to build strength through the entire range of motion. Ex. band assisted front lever raise, regular progressions (tuck, adv tuck, straddle, half lay)
Front Lever Progressions	[Pullup, hollow body hold progressions]	[Front Lever]	green	Front lever progressions are the safest and most effective way to build toward the full skill. Every progression strengthens your core, lats and straight arm pulling. Ex. band assisted progressions, regular progressions (tuck, adv tuck, straddle, half lay)
Explosive Pullup	[Pullup]	[Muscle Up]	yellow	Explosive pullups teach you to generate power instead of just strength. They're essential for skills like the muscle up and make regular pullups feel much easier.
Incline Pushup	[]	[Pushup]	red	The perfect starting point for pushing exercises. Incline pushups are easy to scale while building strength in your chest, shoulders and triceps.
Pushup	[Incline Pushup]	[Dip, Pike Pushup, Handstand Progressions, one arm pushup progressions]	red	One of the best bodyweight exercises you can learn. Pushups build pressing strength, muscle and stability while unlocking countless advanced pushing skills.
Dip	[Pushup]	[Weighted Dip, Planche Pushup Progressions, Muscle Up]	red	Dips are one of the best upper body pushing exercises. They develop your chest, shoulders and triceps while building the strength needed for many advanced skills.
Weighted Dip	[Dip]	[]	red	Weighted dips take one of the best pushing exercises to the next level. They're an excellent way to build raw pressing strength that carries over to many calisthenics skills.
Handstand	[Handstand Progressions]	[Handstand Pushup, One Arm Handstand Progressions]	red	The handstand teaches balance, body awareness and shoulder stability. Mastering it opens the door to many advanced pushing skills.
Handstand Progressions	[Pushup]	[Handstand]	red	Handstand progressions build the balance, confidence and shoulder strength needed for a full handstand. They're easy to scale for any level and help you safely work toward one of calisthenics' most fundamental skills. Ex. wall holds, wall peels
Handstand Pushup	[Pike Pushup, Handstand]	[90 Degree Pushup, Planche Progressions, Planche Pushup Progressions]	red	The handstand pushup is one of the best exercises for building overhead pressing strength. It develops powerful shoulders while laying the foundation for advanced balance skills.
Pike Pushup	[Pushup]	[Handstand Pushup]	red	Pike pushups are the stepping stone to handstand pushups. They strengthen your shoulders and teach the correct pressing pattern without requiring full body balance.
One Arm Handstand Progressions	[Handstand]	[One Arm Handstand]	red	These progressions gradually build the balance and strength needed for a one arm handstand. Patience and consistency are key with this skill. Ex. finger assisted one arm handstand, handstand walks
One Arm Handstand	[One Arm Handstand Progressions]	[]	red	The one arm handstand is one of the most difficult balance skills in calisthenics. It demands exceptional strength, body control and precision.
Planche	[Planche Progressions, Planche Raise Progressions]	[]	red	The pinnacle of straight arm pushing strength. Holding your body parallel to the ground is a true demonstration of shoulder, chest and core strength.
Planche Progressions	[Handstand Pushup]	[Planche, Planche Raise Progressions]	red	Planche progressions build the strength and technique needed for the full planche. Every progression develops stronger shoulders, wrists and straight arm strength. Ex band assisted planche, regular progressions (tuck, adv tuck, straddle, half lay), planche lean
Planche Pushup	[Planche Pushup Progressions]	[]	red	Planche pushups combine incredible straight arm strength with dynamic pressing power. They're among the hardest pushing exercises in calisthenics.
Planche Pushup Progressions	[Handstand Pushup, Dip]	[Planche Pushup, 90 degree hold]	red	These progressions strengthen every part of the planche pushup. They gradually build the strength and control needed for the full movement. Ex. band assisted planche pushup, regular planche pushup progressions (tuck, adv tuck, straddle, half lay)
Planche Raise	[Planche Raise Progressions]	[]	red	Planche raises develop explosive straight arm strength and body control. They're an advanced movement that challenges your shoulders and core through a large range of motion.
Planche Raise Progressions	[Planche Progressions]	[Planche Raise, Planche]	red	These progressions prepare you for full planche raises by developing strength through every phase of the movement. Slow, controlled reps are the key to success. Ex. band assisted planche raise, regular planche raise progressions (tuck, adv tuck, straddle, half lay)
90 Degree Pushup	[Handstand Pushup, 90 Degree Hold]	[]	red	The 90 degree pushup combines strength, balance and control into one movement. It's one of the most advanced pressing skills you can achieve.
90 Degree Hold	[planche pushup progressions]	[90 Degree Pushup]	red	The 90 degree hold develops the bent arm strength and stability needed for advanced pressing skills. Mastering this position makes many other skills much easier.
One Arm Pushup progressions	[pushup]	[one arm pushup]	red	These progressions gradually build unilateral pressing strength while correcting imbalances between sides. They're the safest path toward a one arm pushup. Ex. staggered pushup, archer pushup, band assisted one arm pushup
one arm pushup	[one arm pushup progressions]	[]	red	The one arm pushup is a classic display of bodyweight strength. It requires powerful pressing muscles, a strong core and excellent body control.
hollow body hold	[hollow body hold progressions]	[dragon flag progressions, front lever progressions, front lever row progressions, front lever raise progressions]	 blue	The hollow body hold is the foundation of nearly every advanced calisthenics skill. A strong hollow position improves balance, body control and core strength.
laying leg raise progessions	[]	[hanging leg raise progressions, sitting leg raise progressions]	 blue	These progressions strengthen your lower abs and hip flexors while preparing you for more advanced core exercises. They're a great starting point for beginners. Ex. dead bugs, tucked knees, straight legs
hollow body hold progressions	[]	[hollow body hold]	 blue	These progressions make it easier to learn a strong hollow position. Building this foundation will make many other skills feel more stable. Ex. tucked knees tucked arms, tucked knees straight arms, straddle tucked arms, straddle straight arms
hanging leg raise progressions	[laying leg raise progressions]	[L sit, toes to bar]	 blue	These progressions develop grip, core strength and body control. They're an important step toward exercises like the L sit and toes to bar. Ex. knee raise, straight legs
L sit	[hangin leg raise progressions, sitting leg raise progressions]	[]	 blue	The L sit is one of the first major static core skills. It builds strong hip flexors, abs and shoulder stability while improving overall body control.
sitting leg raise progressions	[laying leg raise progressions]	[ sit, V sit]	 blue	These progressions strengthen compression and hip flexor strength. They're the key to unlocking skills like the V sit. Ex. sitting straight leg raises
V sit	[sitting leg raise progressions]	[]	 blue	The V sit is an advanced progression from the L sit that requires exceptional compression and flexibility. It's one of the best demonstrations of core strength.
dragon flag	[dragon flag progressions]	[]	green	The dragon flag is one of the hardest core exercises you can perform. It develops incredible body tension and core strength that carries over to many calisthenics skills.
dragon flag progressions	[hollow body hold, pullup]	[dragon flag]	green	These progressions safely build the strength needed for the full dragon flag. Focus on maintaining a straight, rigid body throughout each rep. Ex. regular progressions (tuck, adv tuck, straddle, half lay)
toes to bar	[hanging leg raise progressions]	[]	 blue	Toes to bar combine grip, coordination and core strength into one movement. They're a great way to build dynamic control while strengthening your entire midsection.
seated squat	[]	[squat]	white	The seated squat is an easy introduction to squatting. It helps build confidence, strength and proper movement patterns before progressing further.
